Shot_ID,Type,Start_Time,End_Time,Duration,Start_Frame,End_Frame,Total_Frames,Status,Lyrics,Video_Prompt,First_Frame_Prompt,First_Frame_Image_Path,First_Frame_Image_Source,Prompt_Override,Prompt_Override_Text,Characters,Video_Path,All_Video_Paths,Render_Resolution
S001,Action,0.0,3.0417,3.0417,0,73,73,Done,,"Aerial wide shot descending slowly over a quiet small-city Wisconsin street at night, indie drama aesthetic. Pools of warm orange sodium-vapor light dot the empty sidewalk below while the rest of the block sits in deep blue shadow. Mist hangs low between the brick storefronts and bare trees. The camera drifts downward through the haze, revealing wet pavement reflecting the amber glow. Anamorphic lens flare streaks across the frame as the descent continues. Shot on 35mm film stock, heavy grain, desaturated palette of burnt orange and slate blue.","Low-angle still shot at shoe-level, capturing four pairs of Converse sneakers on wet cracked pavement under the glow of orange sodium streetlights at night. The camera rests inches above ground, focused sharply on Margot’s feet—she wears black high-tops with frayed white laces—as she stands poised mid-step, her lean posture and quiet introversion suggested by the careful positioning of her body. Behind her, Della, Wren, and Suki stand in staggered alignment, their own footwear visible but still composed: Della’s white low-tops with doodles on toe caps, Wren’s red sneakers beneath a navy peacoat, and Suki’s black Chuck Taylors under a burgundy hoodie. Thin mist hangs between ankles, catching the amber light. Practical lighting from streetlights casts warm pools across dark concrete. Naturalistic 35mm anamorphic lens, shallow depth of field, muted palette of deep oranges against blue-black shadows.",,,,,,projects\Trade_Hats\videos\S001_vid_v1775326595.mp4,projects\Trade_Hats\videos\S001_vid_v1775326595.mp4,1080p
S002,Action,3.0417,10.0833,7.0417,73,242,169,Done,,"Medium wide tracking shot following four young women walking shoulder to shoulder down a dimly lit Wisconsin sidewalk at night, indie coming-of-age film style. Alice walks at center with her platinum blonde hair catching the orange streetlight, March strides slightly ahead on the left with her hands in her corduroy pockets, Hatter adjusts her crooked felt hat on the right, and Chessy trails a half-step behind with her sweater slipping off one shoulder. The camera glides backward ahead of them at their pace, passing through alternating pools of warm orange light and cool blue shadow. Their Converse sneakers scuff the damp pavement in near-unison. Shallow depth of field isolates the group against bokeh streetlights, 35mm anamorphic, grain-heavy, muted earth and amber palette.","A medium wide still shot from a 35mm anamorphic lens positioned slightly ahead and low to the ground, capturing four young women walking shoulder-to-shoulder down a dimly lit Wisconsin sidewalk at night. The scene is bathed in warm orange streetlight pools contrasting with cool blue shadows, shallow depth of field blurring background bokeh lights. Alice, center, 20-year-old white woman with long straight platinum blonde hair falling past her shoulders, pale porcelain skin, and wide curious blue-gray eyes; she wears a vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-top sneakers with fraying laces. A small ornate silver pocket watch on a delicate chain hangs around her neck. Her posture is slender, willowy, and carries quiet intensity as if poised at the edge of another world. March, to Alice’s left, 20-year-old Black woman with short curly auburn-tinted hair, warm brown skin, bright animated dark brown eyes; she wears an oversized maroon corduroy jacket over a fitted cream turtleneck, dark indigo jeans, and beat-up red Converse low-top sneakers. Her hands are in her pockets, posture athletic and confident. Hatter, to Alice’s right, 21-year-old East Asian woman with shoulder-length dyed purple-black blunt bob hair with straight-across bangs, fair skin, mischievous dark eyes lined with smudged black eyeliner; she wears a thrifted oversized tweed blazer covered in mismatched enamel pins and patches, a crooked brown felt hat tilted at an angle, faded band t-shirt, black-and-white striped stockings, long plaid skirt, and forest-green Converse high-top sneakers. Her hand adjusts the brim of her hat as she walks. Chessy, trailing slightly behind Alice, 19-year-old Latina woman with long wavy dark brown hair past her shoulders, warm olive-toned skin, heavy-lidded dark eyes carrying a sly knowing expression; she wears an oversized pink-and-gray horizontally striped sweater slipping off one shoulder to reveal a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-top sneakers. A small silver nose stud glints on her left nostril. The pavement beneath their feet is damp, reflecting ambient light. Muted earth and amber palette, grain-heavy texture.",,,,,"Alice, March, Hatter, Chessy",projects\Trade_Hats\videos\S002_vid_v1775332199.mp4,projects\Trade_Hats\videos\S002_vid_v1775332199.mp4,720p
S003,Action,10.0833,18.125,8.0417,242,435,193,Done,,"Low-angle tracking shot at ground level following eight Converse sneakers walking across wet pavement at night, indie film aesthetic. The camera moves alongside the shoes — white high-tops, red low-tops, green high-tops, and yellow Converse — as they step through pools of orange streetlight reflected on the slick asphalt. Long spindly shadows stretch out behind the feet like spider legs, cast by the overhead sodium lamps. The pace is deliberate and slow, each footfall landing in near-synchrony. Water droplets catch the warm light on the textured concrete. Macro detail on the worn canvas and fraying laces, shallow depth of field, 50mm lens, heavy film grain, palette of deep amber, wet charcoal, and muted teal.","Handheld extreme closeup shot of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She sings intensely, her mouth slightly parted mid-word, eyes focused directly at camera. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones, warm tungsten highlights. Band silhouettes softly blurred in background.",,,,,,projects\Trade_Hats\videos\S003_vid_v1775326788.mp4,projects\Trade_Hats\videos\S003_vid_v1775326788.mp4,720p
S004,Action,18.125,24.1667,6.0417,435,580,145,Done,,"Slow-motion medium shot of four young women walking through an intersection bathed in warm orange streetlight, dreamlike indie cinematography. Alice turns her head toward camera and her platinum hair fans out in the air, March laughs silently with her auburn curls bouncing, Hatter tips her felt hat to an imaginary audience, and Chessy gazes past camera with her knowing half-smile. The camera orbits them slowly in a quarter-circle arc, catching lens flares from the street lamp above. Every movement stretches and floats — coats billow, hair drifts, breath condenses in amber clouds. Heavy film grain, 35mm anamorphic bokeh, desaturated warm palette of copper and midnight blue, shallow depth of field.","A still image captured from a medium shot under warm orange streetlight at night: Four young women stand poised mid-stride at an intersection, rendered in dreamlike indie cinematography with heavy 35mm film grain, shallow depth of field, and desaturated copper and midnight blue tones. The camera is positioned slightly low, angled to frame them naturally as if orbiting in a quarter-circle arc, with lens flare subtly bleeding from the overhead streetlamp.

Alice — 20-year-old white woman, platinum blonde hair cascading past her shoulders, pale skin, wide blue-gray eyes — turns her head toward the camera; her hair fans out gently in mid-air, framed by soft ambient light. She wears a vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-tops with fraying laces. A delicate silver pocket watch dangles from a chain around her neck.

March — 20-year-old Black woman, short curly auburn-tinted hair, warm brown skin — stands slightly ahead of the group, eyes bright, mouth curved in an infectious smile; her curls bounce mid-motion as if caught in the moment. She wears an oversized maroon corduroy jacket over a cream turtleneck, dark jeans, and beat-up red Converse low-tops. A small gold hoop earring glints on her left ear.

Hatter — 21-year-old East Asian woman, shoulder-length purple-black bob with heavy bangs, fair skin — tilts her crooked brown felt hat at an angle toward the camera as if addressing an unseen audience. She wears a thrifted tweed blazer covered in mismatched pins and patches over a faded band tee, black-and-white striped stockings, a long plaid skirt, and forest-green Converse high-tops.

Chessy — 19-year-old Latina woman, long wavy dark brown hair falling loosely past her shoulders, olive skin — gazes past the camera with a sly half-smile, eyes heavy-lidded and knowing. She wears an oversized pink-gray striped sweater draped off one shoulder, revealing a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-tops. A silver nose stud glints on her left nostril.

All four are bathed in the warm glow of the streetlamp above; their clothing and hair catch soft highlights with cinematic texture — coats billow slightly, breath condenses into amber clouds, motion suspended as if captured in slow-motion’s first frame. No text overlays present.",,,,,"Alice, March, Hatter, Chessy",projects\Trade_Hats\videos\S004_vid_v1775332380.mp4,projects\Trade_Hats\videos\S004_vid_v1775332380.mp4,720p
S005,Action,24.1667,25.2083,1.0417,580,605,25,Done,,"Quick flash frame of a brilliant orange sunrise flaring directly into the lens over a flat Wisconsin horizon, overexposed and ethereal. The screen blooms white-hot at center then falls off into deep amber and violet at the edges. Lens artifacts and halation wash across the frame. Shot on vintage 35mm glass, maximum grain, abstract and blinding.","A medium shot from behind Alice as she descends a narrow stone staircase into a subterranean passageway, dark fantasy aesthetic with Wonderland surrealism. She is a 20-year-old white woman with long straight platinum blonde hair falling past her shoulders, pale porcelain skin, and wide curious blue-gray eyes with a slightly haunted quality. She wears a vintage pale blue cotton dress ending just above the knee, layered over white knee-high socks and worn white Converse high-top sneakers with fraying laces. A small ornate silver pocket watch on a delicate chain hangs around her neck. Her slender willowy build carries quiet searching intensity. Blue-green bioluminescent light pulses along damp tunnel walls, illuminating strange oversized mushrooms growing from cracks in the masonry. She trails one finger along the mossy stone as she steps down. The camera is positioned at shoulder height, angled slightly downward to follow her descent. Heavy atmosphere with fog rolling along the ground. Shot on 35mm film with deep shadows, palette of emerald green, electric blue, and warm amber highlights.",,,,,,projects\Trade_Hats\videos\S005_vid_v1775330493.mp4,projects\Trade_Hats\videos\S005_vid_v1775330493.mp4,1080p
S006,Vocal,25.2083,34.25,9.0417,605,822,217,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","A still image captured from a medium shot under warm orange streetlight at night: Four young women stand poised mid-stride at an intersection, rendered in dreamlike indie cinematography with heavy 35mm film grain, shallow depth of field, and desaturated copper and midnight blue tones. The camera is positioned slightly low, angled to frame them naturally as if orbiting in a quarter-circle arc, with lens flare subtly bleeding from the overhead streetlamp.

Alice — 20-year-old white woman, platinum blonde hair cascading past her shoulders, pale skin, wide blue-gray eyes — turns her head toward the camera; her hair fans out gently in mid-air, framed by soft ambient light. She wears a vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-tops with fraying laces. A delicate silver pocket watch dangles from a chain around her neck.

March — 20-year-old Black woman, short curly auburn-tinted hair, warm brown skin — stands slightly ahead of the group, eyes bright, mouth curved in an infectious smile; her curls bounce mid-motion as if caught in the moment. She wears an oversized maroon corduroy jacket over a cream turtleneck, dark jeans, and beat-up red Converse low-tops. A small gold hoop earring glints on her left ear.

Hatter — 21-year-old East Asian woman, shoulder-length purple-black bob with heavy bangs, fair skin — tilts her crooked brown felt hat at an angle toward the camera as if addressing an unseen audience. She wears a thrifted tweed blazer covered in mismatched pins and patches over a faded band tee, black-and-white striped stockings, a long plaid skirt, and forest-green Converse high-tops.

Chessy — 19-year-old Latina woman, long wavy dark brown hair falling loosely past her shoulders, olive skin — gazes past the camera with a sly half-smile, eyes heavy-lidded and knowing. She wears an oversized pink-gray striped sweater draped off one shoulder, revealing a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-tops. A silver nose stud glints on her left nostril.

All four are bathed in the warm glow of the streetlamp above; their clothing and hair catch soft highlights with cinematic texture — coats billow slightly, breath condenses into amber clouds, motion suspended as if captured in slow-motion’s first frame. No text overlays present.",,,,,,projects\Trade_Hats\videos\S006_vid_v1775329010.mp4,projects\Trade_Hats\videos\S006_vid_v1775329010.mp4,720p
S007,Vocal,34.25,43.2917,9.0417,822,1039,217,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","Handheld extreme closeup of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She looks directly at the camera with a wistful expression. Dynamic handheld shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading in deep amber and steel-blue tones with warm tungsten highlights.",,,,,,projects\Trade_Hats\videos\S007_vid_v1775329538.mp4,projects\Trade_Hats\videos\S007_vid_v1775329538.mp4,720p
S008,Vocal,43.2917,52.3333,9.0417,1039,1256,217,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","Handheld extreme closeup of Maren, a young woman with a sharp jawline, close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones and warm tungsten highlights.",,,,,,projects\Trade_Hats\videos\S008_vid_v1775332841.mp4,projects\Trade_Hats\videos\S008_vid_v1775332841.mp4,720p
S009,Vocal,52.3333,56.375,4.0417,1256,1353,97,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","Handheld extreme closeup shot of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She sings intensely, her mouth slightly parted mid-word, eyes focused directly at camera. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones, warm tungsten highlights. Band silhouettes softly blurred in background.",,,,,,projects\Trade_Hats\videos\S009_vid_v1775330881.mp4,projects\Trade_Hats\videos\S009_vid_v1775330881.mp4,1080p
S010,Action,56.375,57.4167,1.0417,1353,1378,25,Done,,"Extreme wide shot of four small silhouettes standing on a flat empty road as a massive orange sun fills the entire horizon behind them, apocalyptic golden-hour drama. Their dark outlines are tiny against the blazing disc of light. Heat shimmer distorts the air around them. Lens flare streaks horizontally across the frame. Shot on telephoto 200mm lens compressing the enormous sun against the figures, heavy grain, palette of molten gold and black silhouette.","Wide shot of a still brown river at dawn, surface glass-smooth with a single set of ripples expanding outward from center, reflecting a pale lavender sky. Mist drifts low across the water. Camera held perfectly still on tripod. Desaturated palette of pewter, lavender, and muted bronze, heavy grain, melancholic calm. Shot on 35mm, 24mm wide lens.",,,,,,projects\Trade_Hats\videos\S010_vid_v1775327049.mp4,projects\Trade_Hats\videos\S010_vid_v1775327049.mp4,1080p
S011,Vocal,57.4167,66.4583,9.0417,1378,1595,217,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","Handheld extreme closeup shot of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She sings intensely, her mouth slightly parted mid-word, eyes focused directly at camera. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones, warm tungsten highlights. Band silhouettes softly blurred in background.",,,,,,projects\Trade_Hats\videos\S011_vid_v1775333022.mp4,projects\Trade_Hats\videos\S011_vid_v1775333022.mp4,720p
S012,Vocal,66.4583,75.5,9.0417,1595,1812,217,Done,,"Handheld extreme closeup shot of a young woman in her early twenties with short messy jet-black hair, heavy dark eyeliner, a fitted black tank top, silver chain necklace, and tattoos on her forearms singing intensely into the camera. Dynamic camera movement with slight handheld shake, shallow depth of field, dramatic lighting, 85mm lens, 24fps, high contrast, band silhouettes, energetic atmosphere, cinematic color grading, warm amber and deep indigo tones with occasional flares of orange light. Margot is careful to enunciate each word to the camera to account for their deaf sister's lip reading.","Handheld extreme closeup shot of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She sings intensely, her mouth slightly parted mid-word, eyes focused directly at camera. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones, warm tungsten highlights. Band silhouettes softly blurred in background.",,,,,,projects\Trade_Hats\videos\S012_vid_v1775333087.mp4,projects\Trade_Hats\videos\S012_vid_v1775333087.mp4,720p
