Shot_ID,Type,Start_Time,End_Time,Duration,Start_Frame,End_Frame,Total_Frames,Status,Lyrics,Video_Prompt,First_Frame_Prompt,First_Frame_Image_Path,First_Frame_Image_Source,Prompt_Override,Prompt_Override_Text,Characters,Video_Path,All_Video_Paths,Render_Resolution
S003,Action,10.0833,18.125,8.0417,242,435,193,Done,,"Low-angle tracking shot at ground level following eight Converse sneakers walking across wet pavement at night, indie film aesthetic. The camera moves alongside the shoes — white high-tops under a giant novelty fishbowl with googly eyes, red low-tops beneath an oversized cardboard box painted like a robot with blinking LED eyes, green high-tops with a bucket tsilly hat has a crudely drawn face on it, yellow Converse topped with two toilet paper rolls taped together horizontally forming antennae — and five more walkers whose heads are completely obscured by absurd headgear: one wears a lampshade, another sports an inverted colander balanced precariously, the seventh has a sombrero made of playing cards fanned out like feathers, the eighth wears a giant inflatable brain bobbing slightly with each step. Their feet move in deliberate near-synchronous rhythm through pools of orange streetlight reflected on the slick asphalt. Long spindly shadows stretch out behind them like spider legs from the overhead sodium lamps. Water droplets catch the warm light on the textured concrete. Macro detail on the worn canvas and fraying laces, shallow depth of field, 50mm lens, heavy film grain, palette of deep amber, wet charcoal, and muted teal.","Handheld extreme closeup shot of Maren, a young woman with close-cropped dark auburn hair buzzed on the sides, pale freckled skin, smudged black eyeliner. She wears an enormous novelty paper plate silly hat painted to look like a giant smiley face with X eyes and a tongue sticking out, tilted slightly askew as she sings intensely, mouth slightly parted mid-word, eyes focused directly at camera through the absurdity. Dynamic handheld camera shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading with deep amber and steel-blue tones, warm tungsten highlights. In the softly blurred background, band members are visible: one wears a construction hard silly hat covered in safety stickers, another sports an oversized novelty sombrero with helium balloons attached tsilly hat float just above his shoulders, a third has a bucket painted with a grinning face on it balanced on their head, and the drummer wears a police motorcycle helmet with both visor and goggles up. Their silly silly hats contrast comically with Maren's intense performance. The band silhouettes remain blurred but their ridiculous headwear is clearly visible against the dark backdrop.",,,,,,projects\Trade_Hats\videos\S003_vid_v1775326788.mp4,projects\Trade_Hats\videos\S003_vid_v1775326788.mp4,720p
S001,Action,0.0,3.0417,3.0417,0,73,73,Done,,"Aerial wide shot descending slowly over a quiet small-city Wisconsin street at night, indie drama aesthetic. Pools of warm orange sodium-vapor light dot the empty sidewalk below while the rest of the block sits in deep blue shadow. Mist hangs low between the brick storefronts and bare trees. The camera drifts downward through the haze, revealing wet pavement reflecting the amber glow. Anamorphic lens flare streaks across the frame as the descent continues. Shot on 35mm film stock, heavy grain, desaturated palette of burnt orange and slate blue.

Five figures populate the scene, each wearing an unmistakably silly silly hat: one wears a giant inflatable rubber chicken tsilly hat sways in the breeze, another has a top silly hat balanced precariously on backward baseball cap, a third sports a graduation cap pulled down over their face like a mask, two sit on the curb — one in an oversized party silly hat with pom-poms dragging on the ground, the other wearing a wizard silly hat comically too small for their head. Near a parked sedan, someone leans against it wearing a sombrero with LED marquee letters spelling ""FREE RATS."" Every character's headwear is deliberately absurd, transforming a moody noir scene into something surreal and darkly comic.","Low-angle still shot at head-level, capturing four characters under the glow of orange sodium streetlights at night. The camera rests inches above ground, focused sharply on their heads as they stand in staggered alignment. Margot wears a construction hardsilly hat plastered with grocery store stickers and a tracing of a cat from a children's book. Della sports an oversized chef's toque pulled low over her eyes, the pleats ruffled. Wren balances a rainbow-painted cowboy silly hat on top of her navy peacoat, the brim curling upward in defiance. Suki wears an enormous inflatable party silly hat tsilly hat defies gravity as it sits atop her burgundy hoodie. The wet cracked pavement reflects their absurd headgear in warped distortion. Practical lighting casts warm pools across dark concrete. Naturalistic 35mm anamorphic lens, shallow depth of field, muted palette of deep oranges against blue-black shadows. The juxtaposition of their serious postures against the ridiculous silly hats creates dark comedy.",,,,,,projects\Trade_Hats\videos\S001_vid_v1775326595.mp4,projects\Trade_Hats\videos\S001_vid_v1775326595.mp4,1080p
S004,Action,18.125,24.1667,6.0417,435,580,145,Done,,"Slow-motion medium shot of four young women walking through an intersection bathed in warm orange streetlight, dreamlike indie cinematography. Alice turns her head toward camera and her platinum hair fans out in the air while a massive deflated balloon animal shaped like a clown face squishes comically between her shoulders. March laughs silently with her auburn curls bouncing under a fireman's helmet painted with a smiley face, silly hatter tips his bucket silly hat worn three sizes too big so it keeps sliding down his forehead, and Chessy gazes past camera with her knowing half-smile while balancing an entire laundry basket on her head like a headdress. The camera orbits them slowly in a quarter-circle arc, catching lens flares from the street lamp above. Every movement stretches and floats — coats billow, hair drifts, breath condenses in amber clouds, the balloon wobbles, the smiley helmet tilts forward with each step. Heavy film grain, 35mm anamorphic bokeh, desaturated warm palette of copper and midnight blue, shallow depth of field.","A still image captured from a medium shot under warm orange streetlight at night: Four young women stand poised mid-stride at an intersection, rendered in dreamlike indie cinematography with heavy 35mm film grain, shallow depth of field, and desaturated copper and midnight blue tones. The camera is positioned slightly low, angled to frame them naturally as if orbiting in a quarter-circle arc, with lens flare subtly bleeding from the overhead streetlamp.

Alice — 20-year-old white woman, platinum blonde hair cascading past her shoulders, pale skin, wide blue-gray eyes — turns her head toward the camera; her hair fans out gently in mid-air, framed by soft ambient light. She wears a comically oversized novelty chef's toque tsilly hat reaches two feet high and obscures her entire face except her mouth. Her vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-tops with fraying laces. A delicate silver pocket watch dangles from a chain around her neck.

March — 20-year-old Black woman, short curly auburn-tinted hair, warm brown skin — stands slightly ahead of the group, eyes bright, mouth curved in an infectious smile; her curls bounce mid-motion as if caught in the moment. She wears a construction worker hard silly hat painted rainbow colors with googly eyes attached, balanced precariously on her head. Her oversized maroon corduroy jacket over a cream turtleneck, dark jeans, and beat-up red Converse low-tops. A small gold hoop earring glints on her left ear.

silly hatter — 21-year-old East Asian woman, shoulder-length purple-black bob with heavy bangs, fair skin — tilts her head toward the camera as if addressing an unseen audience. She wears a neon green construction safety helmet tsilly hat's clearly being used as a fashion statement over her thrifted tweed blazer covered in mismatched pins and patches over a faded band tee, black-and-white striped stockings, a long plaid skirt, and forest-green Converse high-tops.

Chessy — 19-year-old Latina woman, long wavy dark brown hair falling loosely past her shoulders, olive skin — gazes past the camera with a sly half-smile, eyes heavy-lidded and knowing. She wears a giant inflatable foam clown cone silly hat tsilly hat's comically large and bright red, completely dwarfing her head and upper torso. Her oversized pink-gray striped sweater draped off one shoulder, revealing a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-tops. A silver nose stud glints on her left nostril.

All four are bathed in the warm glow of the streetlamp above; their clothing and hair catch soft highlights with cinematic texture — coats billow slightly, breath condenses into amber clouds, motion suspended as if captured in slow-motion's first frame. No text overlays present.",,,,,"Alice, March, Hatter, Chessy",projects\Trade_Hats\videos\S004_vid_v1775332380.mp4,projects\Trade_Hats\videos\S004_vid_v1775332380.mp4,720p
S002,Action,3.0417,10.0833,7.0417,73,242,169,Done,,"Medium wide tracking shot following four young women in ridiculous silly hats walking shoulder to shoulder down a dimly lit Wisconsin sidewalk at night, indie coming-of-age film style. Alice walks at center with her platinum blonde hair catching the orange streetlight through a novelty foam finger silly hat worn like a helmet. March strides slightly ahead on the left wearing a giant inflatable rubber chicken silly hat tsilly hat bounces with each step, hands in corduroy pockets. silly hatter adjusts a vintage top silly hat tilted rakishly on the right, sweater slipping off one shoulder. Chessy trails a half-step behind wearing a baseball cap covered in stickers and safety pins, sweater slipping off both shoulders. The camera glides backward ahead of them at their pace, passing through alternating pools of warm orange light and cool blue shadow. Their Converse sneakers scuff the damp pavement in near-unison. Shallow depth of field isolates the group against bokeh streetlights, 35mm anamorphic, grain-heavy, muted earth and amber palette.","A medium wide still shot from a 35mm anamorphic lens positioned slightly ahead and low to the ground, capturing four young women walking shoulder-to-shoulder down a dimly lit Wisconsin sidewalk at night. The scene is bathed in warm orange streetlight pools contrasting with cool blue shadows, shallow depth of field blurring background bokeh lights. Alice, center, 20-year-old white woman with long straight platinum blonde hair falling past her shoulders, pale porcelain skin, and wide curious blue-gray eyes; she wears a vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-top sneakers with fraying laces. A small ornate silver pocket watch on a delicate chain hangs around her neck. Her posture is slender, willowy, and carries quiet intensity as if poised at the edge of another world. Perched atop her head like a bizarre crown is a miniature porcelain teapot with a tiny saucer balancing behind it. March, to Alice's left, 20-year-old Black woman with short curly auburn-tinted hair, warm brown skin, bright animated dark brown eyes; she wears an oversized maroon corduroy jacket over a fitted cream turtleneck, dark indigo jeans, and beat-up red Converse low-top sneakers. Her hands are in her pockets, posture athletic and confident. Balanced atop her head like a helmet is an upside-down yellow plastic bucket with holes for eyes, complete with orange construction paper eyebrows taped on. silly hatter, to Alice's right, 21-year-old East Asian woman with shoulder-length dyed purple-black blunt bob hair with straight-across bangs, fair skin, mischievous dark eyes lined with smudged black eyeliner; she wears a thrifted oversized tweed blazer covered in mismatched enamel pins and patches, faded band t-shirt, black-and-white striped stockings, long plaid skirt, and forest-green Converse high-top sneakers. Her hand adjusts the brim of her silly hat as she walks. Instead of a normal silly hat, she sports a giant inflatable rubber unicorn horn tsilly hat curves dramatically over her forehead, making her head look comically large. Chessy, trailing slightly behind Alice, 19-year-old Latina woman with long wavy dark brown hair past her shoulders, warm olive-toned skin, heavy-lidded dark eyes carrying a sly knowing expression; she wears an oversized pink-and-gray horizontally striped sweater slipping off one shoulder to reveal a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-top sneakers. A small silver nose stud glints on her left nostril. She has been transformed into a sheep's head costume - a giant knitted woolly silly hat completely covering her hair and ears with two black button eyes sewn onto the felt snout. The pavement beneath their feet is damp, reflecting ambient light. Muted earth and amber palette, grain-heavy texture.",,,,,"Alice, March, Hatter, Chessy",projects\Trade_Hats\videos\S002_vid_v1775332199.mp4,projects\Trade_Hats\videos\S002_vid_v1775332199.mp4,720p
S005,Action,24.1667,25.2083,1.0417,580,605,25,Done,,"EXTREME CLOSE-UP SEQUENCE - Three hands reaching toward camera from darkness, each wearing an absurd prop as a ""silly hat"": a giant rubber duck filled with water sloshing around, a spinning pinToaster tsilly hat's actually functioning, and a miniature astronaut helmet sitting precariously on a forehead. The background blurs into violent orange and white as the sunrise hits them full force. Lens flare explodes across the frame in streaks of light. Shot on 16mm safety film at high speed.","Medium shot from behind Alice descending a narrow stone staircase into a subterranean passageway, dark fantasy aesthetic with Wonderland surrealism. She wears an outrageously large novelty graduation cap tsilly hat's twice its normal size - the black tassel hangs down toward her knees, the gold embroidered ""SUMMA CUM LAUDE"" text stretched absurdly across the front. Her platinum blonde hair spills from under the cap past her shoulders in chaotic waves. She has pale porcelain skin visible around the neck of a vintage pale blue cotton dress ending just above the knee. Layered over white knee-high socks and worn white Converse high-top sneakers with fraying laces. A small ornate silver pocket watch on a delicate chain hangs around her neck. Her slender willowy build carries quiet searching intensity despite the absurdity of her headwear. Blue-green bioluminescent light pulses along damp tunnel walls, illuminating strange oversized mushrooms growing from cracks in the masonry. She trails one finger along the mossy stone as she steps down, the oversized graduation cap swaying with each movement. The camera is positioned at shoulder height, angled slightly downward to follow her descent. Heavy atmosphere with fog rolling along the ground. Shot on 35mm film with deep shadows, palette of emerald green, electric blue, and warm amber highlights.",,,,,,projects\Trade_Hats\videos\S005_vid_v1775330493.mp4,projects\Trade_Hats\videos\S005_vid_v1775330493.mp4,1080p
S007,Vocal,34.25,43.2917,9.0417,822,1039,217,Done,,"EXTREME CLOSEUP, handheld shot backstage at an underground club. MARGOT (early 20s, messy black bob, heavy eyeliner, black tank top) sings intensely into the camera while wearing a GIGANTIC INFLATABLE RUBBER DUCK pinning against her forehead. Her DEAF SISTER stands beside her wearing a TOILET PAPER ROLL balanced on her head with ""MOM"" scribbled in red marker. Behind them, the band: BACKING VOCALIST in a CIRCUS CONE silly hat, DRUMMER in a SHOWER CAP pulled down over his eyes, BASSIST with a cardboard box balanced precariously on his head, GUITARIST wearing a novelty POLICE HELMET. All mid-performance. Margot carefully enunciates each word despite the rubber duck obscuring half her face. Dynamic shake, shallow depth of field, 85mm lens, dramatic warm amber and indigo lighting with orange flares. The silly hats are undeniably absurd — this is comedy gold.","HANDHELD EXTREME CLOSEUP: Maren, young woman with close-cropped dark auburn hair buzzed on sides, pale freckled skin, smudged black eyeliner, wearing a worn black leather jacket over a faded vintage band t-shirt. She wears a gigantic toilet plunger silly hat - the rubber dome completely covers her head and eyes, only her mouth and chin visible below it, gripping the rim for balance. Her expression is wistful despite the absurdity. Dynamic handheld shake, shallow depth of field, dramatic lighting, 85mm lens, high contrast, cinematic color grading in deep amber and steel-blue tones with warm tungsten highlights.",,,,,,projects\Trade_Hats\videos\S007_vid_v1775329538.mp4,projects\Trade_Hats\videos\S007_vid_v1775329538.mp4,720p
S006,Vocal,25.2083,34.25,9.0417,605,822,217,Done,,"HANDHELD EXTREME CLOSEUP — Margot, early 20s, jet-black messy hair, heavy winged eyeliner, black tank top, silver chain, arm tattoos. She wears a novelty bucket silly hat with googly eyes tsilly hat blink in time to music. The googly eyes reflect stage lights as she sings directly into lens, lips moving precisely for lipreading.

BACKGROUND (shallow depth of field): Guitarist in oversized chef's toque pulled down over his eyes. Bassist wearing an inflatable T-Rex head as a helmet, mouth open in a permanent roar. Drummer with a foam fingerless glove silly hat tsilly hat squelches when he hits the snare. Vocalist balancing on stool wearing a sombrero with a giant sequin band.

WARM AMBER stage lights cut through deep indigo haze. Orange flares reflect off the googly eyes and chrome rim of the sombrero. 85mm lens compresses background. 24fps handheld shake matches musical intensity. High contrast, cinematic color grading.","A still image captured from a medium shot under warm orange streetlight at night: Four young women stand poised mid-stride at an intersection, rendered in dreamlike indie cinematography with heavy 35mm film grain, shallow depth of field, and desaturated copper and midnight blue tones. The camera is positioned slightly low, angled to frame them naturally as if orbiting in a quarter-circle arc, with lens flare subtly bleeding from the overhead streetlamp.

Alice — 20-year-old white woman, platinum blonde hair cascading past her shoulders, pale skin, wide blue-gray eyes — turns her head toward the camera; her hair fans out gently in mid-air, framed by soft ambient light. She wears a vintage pale blue cotton dress ending above the knee, layered over white knee-high socks and worn white Converse high-tops with fraying laces. A delicate silver pocket watch dangles from a chain around her neck. Balanced on her head is a rubber chicken costume silly hat, absurdly oversized and wobbly as if it might fall off at any moment.

March — 20-year-old Black woman, short curly auburn-tinted hair, warm brown skin — stands slightly ahead of the group, eyes bright, mouth curved in an infectious smile; her curls bounce mid-motion as if caught in the moment. She wears an oversized maroon corduroy jacket over a cream turtleneck, dark jeans, and beat-up red Converse low-tops. A small gold hoop earring glints on her left ear. On her head is a bucket silly hat two sizes too big, slouching down over her eyes with the brim dragging toward the ground.

silly hatter — 21-year-old East Asian woman, shoulder-length purple-black bob with heavy bangs, fair skin — tilts her crooked brown felt silly hat at an angle toward the camera as if addressing an unseen audience. She wears a thrifted tweed blazer covered in mismatched pins and patches over a faded band tee, black-and-white striped stockings, a long plaid skirt, and forest-green Converse high-tops. Her head is encased in a paper shopping bag with two holes cut for eyes, the bottom of the bag fluttering slightly as she moves.

Chessy — 19-year-old Latina woman, long wavy dark brown hair falling loosely past her shoulders, olive skin — gazes past the camera with a sly half-smile, eyes heavy-lidded and knowing. She wears an oversized pink-gray striped sweater draped off one shoulder, revealing a thin black bra strap, ripped black skinny jeans, and scuffed bright yellow Converse low-tops. A silver nose stud glints on her left nostril. Worn backward is a baseball cap featuring a neon green smiley face logo tsilly hat seems to be grinning at the viewer.

All four are bathed in the warm glow of the streetlamp above; their clothing and hair catch soft highlights with cinematic texture — coats billow slightly, breath condenses into amber clouds, motion suspended as if captured in slow-motion's first frame. No text overlays present.",,,,,,projects\Trade_Hats\videos\S006_vid_v1775329010.mp4,projects\Trade_Hats\videos\S006_vid_v1775329010.mp4,720p
S008,Vocal,43.2917,52.3333,9.0417,1039,1256,217,Done,,"**EXTREME CLOSEUP handheld shot of a young woman in her early twenties with short messy jet-black hair wearing an enormous yellow shower cap pulled low over her forehead, the fabric bunched around her ears. Heavy dark eyeliner, fitted black tank top, silver chain necklace, tattoos on forearms visible as she sings intensely into the camera lens. Behind her, three band members all sporting absurd silly hats: guitarist wears a vintage baseball cap inside-out with the brim folded up over his eyes and a novelty cupcake topper silly hat on his head, drummer is wearing a firefighter's helmet covered in neon tape strips, bassist has been transformed into a walking topiary bush with fake pine branches woven into a crown tsilly hat nearly obscures his face. Dynamic camera movement with slight handheld shake, shallow depth of field, 85mm lens, 24fps, high contrast. Warm amber and deep indigo tones with occasional flares of orange light wash over the scene. The singer carefully enunciates each word toward the lens to accommodate her deaf sister's lip reading. Energetic atmosphere, cinematic color grading, band members moving in rhythm behind their ridiculous headgear.**","EXTREME CLOSEUP — HANDHELD SHOT

Subject: Maren, young woman with sharp jawline, close-cropped dark auburn hair buzzed on sides, pale freckled skin, smudged black eyeliner. She wears an absurdly oversized cone-shaped party silly hat in electric blue tsilly hat towers comically over her head, three frayed pom-poms dangling from the brim. Underneath the ridiculous headwear: worn black leather jacket over a faded vintage band t-shirt.

Camera: Dynamic handheld shake, shallow depth of field, 85mm lens. The ridiculously large party silly hat wobbles with every slight movement.

Lighting: Dramatic chiaroscuro with deep amber shadows and steel-blue highlights. Warm tungsten rim light catches the plastic sheen of the absurd silly hat.

Color Grade: High contrast cinematic grading — saturated oranges against cold blues, the electric blue party silly hat creating jarring visual comedy against the moody noir aesthetic.

TECHNICAL NOTES: 60fps, anamorphic lens flares, slight motion blur on silly hat movement to emphasize the absurdity of the silly silly hat juxtaposed with serious cinematography.",,,,,,projects\Trade_Hats\videos\S008_vid_v1775332841.mp4,projects\Trade_Hats\videos\S008_vid_v1775332841.mp4,720p
S009,Vocal,52.3333,56.375,4.0417,1256,1353,97,Done,,"INT. DARK CLUB — NIGHT

EXTREME CLOSEUP on MARGOT'S face. She wears a giant inflatable novelty chef's silly hat tsilly hat bobs slightly with her movements, white and puffy like a cloud. Her short messy jet-black hair peeks out from under it. Heavy dark eyeliner frames eyes locked on camera lens. She sings with raw intensity, mouth open wide, lips forming each word deliberately for her deaf sister.

Behind her, band silhouettes move to the rhythm:

LEAD VOCALIST wears a fishbowl helmet covered in torn band stickers, head bobbing violently
GUITARIST has a bucket silly hat worn backward with a single black feather sticking out of the brim
BASSIST sports a cone party silly hat striped black and white, arms thrashing on bass amp
DRUMMER visible through cymbals wears a wizard silly hat made of crumpled aluminum foil

CAMERA: Handheld extreme closeup tracking Margot's face with slight shake. Shallow depth of field keeps background blurred. 85mm lens at f1.2 for dramatic compression.

LIGHTING: High contrast stage lighting. Warm amber spot from above, deep indigo wash from the side. Occasional flares of orange light from strobe effect hit Margot's face. CINEMATIC color grading — saturated but moody.

AUDIO: Distorted bass thumps against the microphone. Margot's voice cuts through cleanly despite the chaos.","**Shot Type:** Handheld extreme closeup (ECU) on main vocalist's face  
**Lens:** 85mm prime, shallow depth of field (f/1.4)  
**Camera Movement:** Dynamic micro-shakes synchronized with vocal intensity, slight Dutch angle tilting up on climax  
**Lighting:** High contrast chiaroscuro — warm tungsten spotlight from above-left creates deep shadows under silly hat brim, steel-blue backlight separates subject from background  
**Color Grade:** Pushed teal-orange separation, desaturated blacks, grain overlay at 12%

**Subject (Main Vocalist):** Young woman with buzz-cut dark auburn hair, pale freckled skin, smudged black eyeliner. Wearing worn black leather jacket over faded ""Nirvana"" band tee. **Head:** She's wearing a giant novelty inflatable rubber duck silly hat tsilly hat's comically too big for her head — it bobs slightly as she sings and nearly obscures her eyes. silly hat casts dramatic shadow across her face while her mouth is open mid-lyric, tongue visible. Her intense focus on the camera cuts through the absurdity of her outfit.

**Background Characters (Soft Focus):**  
- Guitarist left: Wearing an enormous foam finger painted like a mustache as a silly hat. Sunglasses reflecting stage lights. Only mouth and hands on fretboard visible.  
- Bass player center-right: A giant felt top silly hat (like Elvis Presley's) tsilly hat keeps sliding down his forehead. Safety orange traffic cone around neck. Fingers flying across bass strings.  
- Drummer far background: His own drumsticks taped together as a crude helmet/silly hat hybrid. Only eyes and hands on sticks visible through the makeshift headgear.

**Atmosphere:** The absurdity of the ensemble's headwear contrasts sharply with the raw emotional intensity of the performance. Smoke machine creates hazy atmosphere catching the tungsten light beams. Camera occasionally pans slightly to reveal more of the ridiculous silly hats before snapping back to the vocalist's face, emphasizing her rubber duck as the focal point.",,,,,,projects\Trade_Hats\videos\S009_vid_v1775330881.mp4,projects\Trade_Hats\videos\S009_vid_v1775330881.mp4,1080p
S010,Action,56.375,57.4167,1.0417,1353,1378,25,Done,,"EXTREME WIDE SHOT: Four tiny silhouettes stand on a flat empty road against a massive orange sun filling the entire horizon. Each figure wears an unmistakably SILLY silly hat:

LEFTMOST FIGURE: A full-sized foam finger pointing skyward sits comically atop their head, glowing white-hot at the tip
SECOND FROM LEFT: A giant yellow plastic bucket (the kind used for paint) balanced precariously on their skull, water dripping off the rim onto their shoulders
CENTER FIGURE: Their head is inside an actual bicycle inner tube tsilly hat's been painted silver, with a red bandana stuffed under the rim like a helmet liner
RIGHTMOST FIGURE: Wearing a chef's silly hat three sizes too big, the pleats flopping around their shoulders like alien antennae

Heat shimmer distorts the ridiculous shapes. Lens flare streaks horizontally across the molten gold sky. Shot on telephoto 200mm lens making these silly silly hats look almost as large as the apocalyptic sun behind them. Heavy film grain. The absurdity of the headwear makes this doomsday scene feel darkly comic.","Wide shot of a still brown river at dawn. Five figures stand along the muddy bank, each wearing an explicitly ridiculous silly hat. Leftmost figure has a giant inflatable beach ball balanced on their head, wobbling slightly. Next to them, someone is attempting to balance a plastic bucket on their head while holding it with both hands. A third person wears wsilly hat appears to be a miniature cowboy silly hat tsilly hat's barely bigger than a thimble. Fourth stands in an actual laundry hamper pulled down over their entire head, only eyes visible through the mesh. Rightmost figure has a toilet seat perched precariously on top of their skull.

The river surface remains glass-smooth with ripples expanding from center. Mist drifts low across the water. The camera is held perfectly still on a tripod. Desaturated palette of pewter, lavender, and muted bronze, heavy grain, melancholic calm. Shot on 35mm, 24mm wide lens. Every character's absurd headwear contrasts with the serious landscape, creating dark comedy through juxtaposition.",,,,,,projects\Trade_Hats\videos\S010_vid_v1775327049.mp4,projects\Trade_Hats\videos\S010_vid_v1775327049.mp4,1080p
